Nome,Sexo,Idade,Altura_cm,Peso_kg,Pais,Código_pais,Ano,Estação,Cidade,Esporte,Evento,Medalha,Altura_m,IMC,Pais_traduzido
Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0,Iraq,IRQ,2016,Verão,Rio de Janeiro,Levantamento de Peso,Halterofilismo Masculino Peso Pesado,,1.8,32.098765432098766,Iraque
Clare Abbott,F,30.0,167.0,58.0,Ireland,IRL,2016,Verão,Rio de Janeiro,Hipismo,Hipismo Misturado Evento de Três Dias Individual,,1.67,20.796729893506402,Irlanda
Clare Abbott,F,30.0,167.0,58.0,Ireland,IRL,2016,Verão,Rio de Janeiro,Hipismo,Hipismo Misturado Evento de Três Dias Equipe,,1.67,20.796729893506402,Irlanda
Mara Katherine Abbott,F,30.0,163.0,52.0,United States,USA,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Feminino Prova de Estrada Individual,,1.63,19.57168128269788,Estados Unidos
Mohamed Ibrahim Abd El-Fatah Mohamed,M,34.0,185.0,98.0,Egypt,EGY,2012,Verão,London,Luta Livre,Luta Greco Romana Masculina Peso Pesado,,1.85,28.634039444850252,Egito
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19.0,167.0,60.0,Egypt,EGY,2012,Verão,London,Nado Sincronizado,Nado Sincronizado Feminino Equipe,,1.67,21.513858510523864,Egito
Hossam Abdalla,M,28.0,203.0,97.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Masculino,,2.03,23.538547404693155,Egito
Maha Abdalsalam Gouda,F,18.0,172.0,61.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Saltos Ornamentais,Saltos Femininos Plataforma,,1.72,20.61925365062196,Egito
Ahmed Abdel Naeim,M,31.0,197.0,87.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Masculino,,1.97,22.41748048133165,Egito
Samy Abdel Razek,M,36.0,170.0,60.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Tiro Esportivo,Tiro Masculino Pistola de Ar 10 metros,,1.7,20.761245674740486,Egito
Samy Abdel Razek,M,36.0,170.0,60.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Tiro Esportivo,Tiro Masculino Pistola Livre 50 metros,,1.7,20.761245674740486,Egito
Shaimaa Abdel-Latif-Hashad,F,35.0,165.0,57.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Tiro Esportivo,Tiro Feminino Rifle de Ar 10 metros,,1.65,20.936639118457304,Egito
Ahmed Abdelaal,M,27.0,188.0,89.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Masculino,,1.88,25.18107741059303,Egito
Mahmoud Abdelaal,M,24.0,176.0,60.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Leve,,1.76,19.369834710743802,Egito
Mohamed Ali Abdelaal,M,26.0,175.0,81.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Judô,Judô Masculino Meio Médio,,1.75,26.448979591836736,Egito
Ibrahim Ramadan Ibrahim Abdelbaki,M,24.0,173.0,77.0,Egypt,EGY,2012,Verão,London,Levantamento de Peso,Halterofilismo Masculino Peso Médio,,1.73,25.727555214006482,Egito
Ibrahim Ramadan Ibrahim Abdelbaki,M,28.0,173.0,77.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Levantamento de Peso,Halterofilismo Masculino Peso Médio,,1.73,25.727555214006482,Egito
Ragab Abdelhay Saad Abdelrazek Abdallah,M,21.0,170.0,94.0,Egypt,EGY,2012,Verão,London,Levantamento de Peso,Weightlifting Men's Light Heavyweight,,1.7,32.52595155709343,Egito
Ragab Abdelhay Saad Abdelrazek Abdallah,M,25.0,170.0,94.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Levantamento de Peso,Halterofilismo Masculino Peso Médio Pesado,,1.7,32.52595155709343,Egito
Ayoub Abdellaoui,M,23.0,184.0,68.0,Algeria,ALG,2016,Verão,Rio de Janeiro,Futebol,Futebol Masculino,,1.84,20.085066162570886,Argélia
Leila Abdelmoez,F,19.0,160.0,46.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Nado Sincronizado,Nado Sincronizado Feminino Equipe,,1.6,17.968749999999996,Egito
Sayed Abdelmonem Sayed Hamed,M,23.0,170.0,60.0,Egypt,EGY,2012,Verão,London,Luta Livre,Luta Greco Romana Masculina Peso Leve,,1.7,20.761245674740486,Egito
Ahmed Abdelrahman,M,20.0,165.0,60.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Judô,Judô Masculino Peso Meio Leve,,1.65,22.03856749311295,Egito
Ihab Abdelrahman El-Sayed Abdelrahman,M,23.0,194.0,96.0,Egypt,EGY,2012,Verão,London,Atletismo,Atletismo Masculino Lançamento de Dardo,,1.94,25.507492826017643,Egito
Mamdouh Abdelrehim,M,26.0,207.0,90.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Masculino,,2.07,21.00399075824407,Egito
Mouni Abderrahim,F,26.0,173.0,60.0,Algeria,ALG,2012,Verão,London,Voleibol,Vôlei Feminino,,1.73,20.04744562130375,Argélia
Saeid Morad Abdevali,M,22.0,170.0,80.0,Iran,IRI,2012,Verão,London,Luta Livre,Luta Greco Romana Masculina Peso Meio Médio,,1.7,27.68166089965398,Irã
Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,IRI,2016,Verão,Rio de Janeiro,Luta Livre,Luta Greco Romana Masculina Peso Médio,Bronze,1.7,27.68166089965398,Irã
Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 5.000 metros,,1.76,18.078512396694215,Bélgica
Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 10.000 metros,,1.76,18.078512396694215,Bélgica
Youcef Abdi,M,34.0,178.0,66.0,Australia,AUS,2012,Verão,London,Atletismo,Atletismo Masculino 3.000 metros com Obstáculos,,1.78,20.830703194041156,Austrália
"Abdihakim ""Abdi"" Abdirahman",M,35.0,178.0,61.0,United States,USA,2012,Verão,London,Atletismo,Atletismo Masculino Maratona,,1.78,19.252619618735007,Estados Unidos
Yhyacinthe Mewoli Abdon,M,26.0,176.0,60.0,Cameroon,CMR,2012,Verão,London,Boxe,Boxe Masculino Peso Leve,,1.76,19.369834710743802,Camarões
Fawziya Abdoulkarim,F,27.0,180.0,67.0,Cameroon,CMR,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Feminino,,1.8,20.679012345679013,Camarões
Berik Abdrakhmanov,M,30.0,165.0,60.0,Kazakhstan,KAZ,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Leve,,1.65,22.03856749311295,Cazaquistão
Maizurah Abdul Rahim,F,17.0,147.0,50.0,Brunei,BRU,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino 200 metros,,1.47,23.138507103521682,Brunei
Dana Abdul Razak (Hussain-),F,26.0,163.0,56.0,Iraq,IRQ,2012,Verão,London,Atletismo,Atletismo Feminino 100 metros,,1.63,21.077195227520797,Iraque
Mona Ahmad Abdulaziz Hassanein,F,26.0,166.0,61.0,Egypt,EGY,2012,Verão,London,Esgrima,Esgrima Feminino Epee Individual,,1.66,22.136739730004358,Egito
Abdulqdir Abdullayev,M,28.0,188.0,91.0,Azerbaijan,AZE,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Pesado,,1.88,25.746944318696244,Azerbaijão
Muminzhon Abdullayev,M,22.0,190.0,130.0,Uzbekistan,UZB,2012,Verão,London,Luta Livre,Luta Greco Romana Masculina Super Peso Pesado,,1.9,36.011080332409975,Uzbequistão
Muminzhon Abdullayev,M,26.0,190.0,130.0,Uzbekistan,UZB,2016,Verão,Rio de Janeiro,Luta Livre,Luta Greco Romana Masculina Super Peso Pesado,,1.9,36.011080332409975,Uzbequistão
Laye Abdullayeva,F,21.0,170.0,47.0,Azerbaijan,AZE,2012,Verão,London,Atletismo,Atletismo Feminino 5.000 metros,,1.7,16.262975778546714,Azerbaijão
Abir Abdulrahman Khalil Mahmoud Khalil,F,20.0,162.0,72.0,Egypt,EGY,2012,Verão,London,Levantamento de Peso,Levantamento de Peso Feminino Pesado,,1.62,27.43484224965706,Egito
Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23.0,168.0,68.0,United Arab Emirates,UAE,2012,Verão,London,Futebol,Futebol Masculino,,1.68,24.092970521541954,Emirados Árabes Unidos
Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20.0,168.0,62.0,United Arab Emirates,UAE,2012,Verão,London,Futebol,Futebol Masculino,,1.68,21.9671201814059,Emirados Árabes Unidos
Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,170.0,59.0,Egypt,EGY,2012,Verão,London,Nado Sincronizado,Nado Sincronizado Feminino Dueto,,1.7,20.41522491349481,Egito
Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,170.0,59.0,Egypt,EGY,2012,Verão,London,Nado Sincronizado,Nado Sincronizado Feminino Equipe,,1.7,20.41522491349481,Egito
Waheed Abdulridha Waheed Karaawi,M,33.0,178.0,74.0,Iraq,IRQ,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Médio,,1.78,23.355636914530994,Iraque
Mohamed Abdultwab Ibrahim Abd El-Baki,M,25.0,162.0,69.0,Egypt,EGY,2012,Verão,London,Levantamento de Peso,Levantamento de Peso Masculino Leve,,1.62,26.291723822588015,Egito
Rasul Abduraim,M,23.0,183.0,74.0,Kyrgyzstan,KGZ,2012,Verão,London,Taekwondo,Taekwondo Masculino Peso Meio Médio,,1.83,22.096807907073963,Quirguistão
Bekzod Makhamadzhonovich Abdurakhmonov,M,26.0,172.0,74.0,Uzbekistan,UZB,2016,Verão,Rio de Janeiro,Luta Livre,Luta Livre Masculina Peso Médio,,1.72,25.013520822065985,Uzbequistão
Mukhamadmurod Abdurakhmonov,M,29.0,192.0,117.0,Tajikistan,TJK,2016,Verão,Rio de Janeiro,Judô,Judô Masculino Peso Pesado,,1.92,31.73828125,Tadjiquistão
Adlan Aliyevich Abdurashidov,M,26.0,172.0,60.0,Russia,RUS,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Leve,,1.72,20.281233098972418,Rússia
Yusup Abdusalomov,M,34.0,170.0,84.0,Tajikistan,TJK,2012,Verão,London,Luta Livre,Luta Livre Masculina Peso Meio Pesado,,1.7,29.065743944636683,Tadjiquistão
Mojtaba Abedini Shormasti,M,27.0,180.0,83.0,Iran,IRI,2012,Verão,London,Esgrima,Esgrima Masculino Sabre Individual,,1.8,25.61728395061728,Irã
Mojtaba Abedini Shormasti,M,31.0,180.0,83.0,Iran,IRI,2016,Verão,Rio de Janeiro,Esgrima,Esgrima Masculino Sabre Individual,,1.8,25.61728395061728,Irã
Jennifer Abel,F,20.0,160.0,62.0,Canada,CAN,2012,Verão,London,Saltos Ornamentais,Saltos Ornamentais Feminino Plataforma,,1.6,24.218749999999996,Canadá
Jennifer Abel,F,20.0,160.0,62.0,Canada,CAN,2012,Verão,London,Saltos Ornamentais,Saltos Ornamentais Feminino Sincro,Bronze,1.6,24.218749999999996,Canadá
Jennifer Abel,F,24.0,160.0,62.0,Canada,CAN,2016,Verão,Rio de Janeiro,Saltos Ornamentais,Saltos Ornamentais Feminino Plataforma,,1.6,24.218749999999996,Canadá
Jennifer Abel,F,24.0,160.0,62.0,Canada,CAN,2016,Verão,Rio de Janeiro,Saltos Ornamentais,Saltos Ornamentais Feminino Sincro,,1.6,24.218749999999996,Canadá
Arthur Abele,M,30.0,184.0,85.0,Germany,GER,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Decatlo,,1.84,25.10633270321361,Alemanha
Jos Javier Abella Fanjul,M,22.0,176.0,66.0,Mexico,MEX,2016,Verão,Rio de Janeiro,Futebol,Futebol Masculino,,1.76,21.306818181818183,México
Tesfaye Abera Dibaba,M,24.0,192.0,68.0,Ethiopia,ETH,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Maratona,,1.92,18.446180555555557,Etiópia
Mohamed Aberhoune,M,23.0,187.0,75.0,Morocco,MAR,2012,Verão,London,Futebol,Futebol Masculino,,1.87,21.447567845806283,Marrocos
Matthew Duncan Abeysinghe,M,20.0,180.0,74.0,Sri Lanka,SRI,2016,Verão,Rio de Janeiro,Natação,Natação Masculina 100 metros Livre,,1.8,22.839506172839506,Sri Lanka
Narek Abgaryan,M,24.0,166.0,52.0,Armenia,ARM,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Mosca,,1.66,18.870663376397157,Armênia
Pablo Abin Vicen,M,27.0,177.0,68.0,Spain,ESP,2012,Verão,London,Badminton,Badminton Masculino Simples,,1.77,21.705129432793896,Espanha
Pablo Abin Vicen,M,31.0,177.0,68.0,Spain,ESP,2016,Verão,Rio de Janeiro,Badminton,Badminton Masculino Simples,,1.77,21.705129432793896,Espanha
Tomomi Abiko,F,24.0,173.0,53.0,Japan,JPN,2012,Verão,London,Atletismo,Atletismo Feminino Salto com Vara,,1.73,17.70857696548498,Japão
"Catherine ""Kate"" Abilla Awino",F,27.0,162.0,56.0,Kenya,KEN,2016,Verão,Rio de Janeiro,Rúgbi de Sete,Rugby Sevens Feminino,,1.62,21.338210638622158,Quênia
Camille Anne Franoise Abily,F,27.0,168.0,60.0,France,FRA,2012,Verão,London,Futebol,Futebol Feminino,,1.68,21.258503401360546,França
Camille Anne Franoise Abily,F,31.0,168.0,60.0,France,FRA,2016,Verão,Rio de Janeiro,Futebol,Futebol Feminino,,1.68,21.258503401360546,França
Endurance Abinuwa,F,24.0,159.0,54.0,Nigeria,NGR,2012,Verão,London,Atletismo,Revezamento 4 x 100 metros Feminino Atletismo,,1.59,21.359914560341757,Nigéria
Bode Abiodun,M,35.0,170.0,68.0,Nigeria,NGR,2016,Verão,Rio de Janeiro,Tênis de Mesa,Tênis de Mesa Masculino Equipe,,1.7,23.529411764705884,Nigéria
Diana Monteiro Abla,F,21.0,175.0,75.0,Brazil,BRA,2016,Verão,Rio de Janeiro,Polo Aquático,Pólo Aquático Feminino,,1.75,24.489795918367346,Brasil
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Verão,London,Ginástica,Ginástica Masculina Equipe Geral,,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Verão,London,Ginástica,Ginástica Masculina Exercício no Solo,Bronze,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Verão,London,Ginástica,Ginástica Masculina Salto sobre Cavalo,Prata,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Verão,London,Ginástica,Ginástica Masculina Barras Paralelas,,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Verão,London,Ginástica,Ginástica Masculina Barra Fixa,,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Verão,London,Ginástica,Ginástica Masculina Argolas,,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Equipe Geral,Prata,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Exercício no Solo,,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Salto sobre Cavalo,Prata,1.61,23.9188302920412,Rússia
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Argolas,Bronze,1.61,23.9188302920412,Rússia
Thorine Christelle Aboa Mbeza,F,23.0,182.0,78.0,Cameroon,CMR,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Feminino,,1.82,23.54788069073783,Camarões
Bukola Dammy Abogunloko,F,17.0,170.0,53.0,Nigeria,NGR,2012,Verão,London,Atletismo,Revezamento 4 x 400 metros Feminino Atletismo,,1.7,18.339100346020764,Nigéria
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016,Verão,Rio de Janeiro,Natação,Natação Masculina 50 metros Livre,,1.97,23.70584142853462,Austrália
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016,Verão,Rio de Janeiro,Natação,Natação Masculino Revezamento 4 x 100 metros Livre,Bronze,1.97,23.70584142853462,Austrália
Abdelhalim Muhammad Abou,M,27.0,210.0,88.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Masculino,,2.1,19.954648526077097,Egito
Ashraf Abou El-Hassan,M,41.0,186.0,86.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Masculino,,1.86,24.858365128916635,Egito
Rabah Aboud,M,31.0,180.0,64.0,Algeria,ALG,2012,Verão,London,Atletismo,Atletismo Masculino 5.000 metros,,1.8,19.753086419753085,Argélia
Mamdouh Taha Al-Husseini Abouebaid,M,28.0,183.0,85.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Handebol,Handebol Masculino,,1.83,25.381468541909282,Egito
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,EGY,2012,Verão,London,Esgrima,Esgrima Masculino Florete Individual,Prata,1.88,24.615210502489816,Egito
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,EGY,2012,Verão,London,Esgrima,Esgrima Masculino Florete Equipe,,1.88,24.615210502489816,Egito
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25.0,188.0,87.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Esgrima,Esgrima Masculino Florete Individual,,1.88,24.615210502489816,Egito
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25.0,188.0,87.0,Egypt,EGY,2016,Verão,Rio de Janeiro,Esgrima,Esgrima Masculino Florete Equipe,,1.88,24.615210502489816,Egito
Mohamed Mohamed Mohamed Aboutrika,M,33.0,182.0,77.0,Egypt,EGY,2012,Verão,London,Futebol,Futebol Masculino,,1.82,23.24598478444632,Egito
Melita Isidora Abraham Schssler,F,19.0,170.0,62.0,Chile,CHI,2016,Verão,Rio de Janeiro,Remo,Remo Feminino Dupla Leve,,1.7,21.453287197231838,Chile
Tadesse Abraham,M,33.0,178.0,61.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Maratona,,1.78,19.252619618735007,Suíça
Yelena Vasilyevna Abramchuk (Kopets-),F,28.0,182.0,95.0,Belarus,BLR,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino Arremesso de Peso,,1.82,28.680111097693512,Bielorrússia
Aliyah Abrams,F,19.0,163.0,53.0,Guyana,GUY,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino 400 metros,,1.63,19.94805976890361,Guiana
Benik Abramyan,M,31.0,186.0,115.0,Georgia,GEO,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Arremesso de Peso,,1.86,33.240837090993175,Geórgia
Arnaldo Lus Isaas Abrantes,M,25.0,183.0,72.0,Portugal,POR,2012,Verão,London,Atletismo,Atletismo Masculino 200 metros,,1.83,21.49959688255845,Portugal
Amir Abrashi,M,22.0,172.0,70.0,Switzerland,SUI,2012,Verão,London,Futebol,Futebol Masculino,,1.72,23.661438615467823,Suíça
Diogo Ferreira Tribolet de Abreu,M,22.0,183.0,73.0,Portugal,POR,2016,Verão,Rio de Janeiro,Ginástica de Trampolim,Trampolim Masculino Individual,,1.83,21.798202394816204,Portugal
rika Abril Surez,F,34.0,164.0,52.0,Colombia,COL,2012,Verão,London,Atletismo,Atletismo Feminino Maratona,,1.64,19.333729922665082,Colômbia
rika Abril Surez,F,38.0,164.0,52.0,Colombia,COL,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino Maratona,,1.64,19.333729922665082,Colômbia
Laura Valentina Abril Restrepo,F,22.0,162.0,50.0,Colombia,COL,2012,Verão,London,Ciclismo,Ciclismo Feminino Mountainbike Cross Country,,1.62,19.05197378448407,Colômbia
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,Spain,ESP,2016,Verão,Rio de Janeiro,Basquete,Basquete Masculino,Bronze,1.98,23.72206917661463,Espanha
Bourhan Abro,M,21.0,180.0,70.0,Djibouti,DJI,2016,Verão,Rio de Janeiro,Natação,Natação Masculina 50 metros Livre,,1.8,21.604938271604937,Djibuti
Anastasiya Aleksandrovna Abrosimova,F,26.0,164.0,51.0,Russia,RUS,2016,Verão,Rio de Janeiro,Triatlo,Triatlo Feminino Distância Olímpica,,1.64,18.961927424152293,Rússia
Julien Absalon,M,31.0,180.0,68.0,France,FRA,2012,Verão,London,Ciclismo,Ciclismo Masculino Mountainbike Cross Country,,1.8,20.98765432098765,França
Julien Absalon,M,35.0,180.0,68.0,France,FRA,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Masculino Mountainbike Cross Country,,1.8,20.98765432098765,França
Ayele Abshero Biza,M,21.0,168.0,62.0,Ethiopia,ETH,2012,Verão,London,Atletismo,Atletismo Masculino Maratona,,1.68,21.9671201814059,Etiópia
Methkal Marouf Abu Drais,M,28.0,168.0,67.0,Jordan,JOR,2012,Verão,London,Atletismo,Atletismo Masculino Maratona,,1.68,23.738662131519277,Jordânia
Methkal Marouf Abu Drais,M,32.0,168.0,67.0,Jordan,JOR,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Maratona,,1.68,23.738662131519277,Jordânia
Maher Abu Rmilah,M,28.0,172.0,72.0,Palestine,PLE,2012,Verão,London,Judô,Judô Masculino Leve,,1.72,24.337479718766904,Territórios palestinos
Ahmad Abughaush,M,20.0,178.0,68.0,Jordan,JOR,2016,Verão,Rio de Janeiro,Taekwondo,Taekwondo Masculino Peso Pena,Ouro,1.78,21.461936624163616,Jordânia
Mohammed Abukhousa,M,23.0,170.0,67.0,Palestine,PLE,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 100 metros,,1.7,23.18339100346021,Territórios palestinos
Mohammad Abulibdeh,M,28.0,183.0,68.0,Jordan,JOR,2012,Verão,London,Taekwondo,Taekwondo Masculino Peso Pena,,1.83,20.305174833527424,Jordânia
Kariman Abuljadayel,F,22.0,180.0,70.0,Saudi Arabia,KSA,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino 100 metros,,1.8,21.604938271604937,Arábia Saudita
Kanat Kalizhanovich Abutalipov,M,29.0,168.0,56.0,Kazakhstan,KAZ,2012,Verão,London,Boxe,Boxe Masculino Peso Galo,,1.68,19.841269841269845,Cazaquistão
